"unitid","institution name","year","EF2016CP.Major field of study","EF2016CP.Grand total","EF2016CP.American Indian or Alaska Native total","EF2016CP.Black or African American total","EF2016CP.Hispanic total","EF2016CP.Native Hawaiian or Other Pacific Islander total","EF2016CP.White total","EF2016CP.Two or more races total","EF2016CP.Race/ethnicity unknown total","IDX_EF"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, All students total","225","27","14","39","17","94","10","23","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Undergraduate total","216","27","14","38","16","88","10","22","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Undergraduate, Degree/certificate-seeking total","216","27","14","38","16","88","10","22","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Undergraduate, Degree/certificate-seeking, First-time","59","12","2","10","4","18","6","7","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Undergraduate, Other degree/certificate-seeking, Total","157","15","12","28","12","70","4","15","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Graduate","9","0","0","1","1","6","0","1","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Undergraduate, Other degree/certificate-seeking, Transfer-ins","1","1","0","0","0","0","0","0","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Undergraduate, Other degree/certificate-seeking, Continuing","156","14","12","28","12","70","4","15","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time students total","225","27","14","39","17","94","10","23","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate total","216","27","14","38","16","88","10","22","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Degree/certificate-seeking total","216","27","14","38","16","88","10","22","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Degree/certificate-seeking, First-time","59","12","2","10","4","18","6","7","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Other degree/certificate-seeking, Total","157","15","12","28","12","70","4","15","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time students, Graduate","9","0","0","1","1","6","0","1","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Other degree/certificate-seeking, Transfer-ins","1","1","0","0","0","0","0","0","-2"
"102845","Charter College","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Other degree/certificate-seeking, Continuing","156","14","12","28","12","70","4","15","-2"
"234401","Beauty Academy","2016",,,,,,,,,,"-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, All students total","56","1","4","4","0","17","4","13","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Undergraduate total","56","1","4","4","0","17","4","13","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Undergraduate, Degree/certificate-seeking total","56","1","4","4","0","17","4","13","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Undergraduate, Degree/certificate-seeking, First-time","3","0","0","0","0","2","0","1","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Undergraduate, Other degree/certificate-seeking, Total","53","1","4","4","0","15","4","12","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Undergraduate, Other degree/certificate-seeking, Transfer-ins","10","0","0","1","0","3","2","1","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Undergraduate, Other degree/certificate-seeking, Continuing","43","1","4","3","0","12","2","11","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time students total","49","1","4","4","0","15","3","11","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate total","49","1","4","4","0","15","3","11","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Degree/certificate-seeking total","49","1","4","4","0","15","3","11","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Degree/certificate-seeking, First-time","3","0","0","0","0","2","0","1","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Other degree/certificate-seeking, Total","46","1","4","4","0","13","3","10","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Other degree/certificate-seeking, Transfer-ins","10","0","0","1","0","3","2","1","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Full-time undergraduate, Other degree/certificate-seeking, Continuing","36","1","4","3","0","10","1","9","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Part-time students total","7","0","0","0","0","2","1","2","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Part-time, undergraduate total","7","0","0","0","0","2","1","2","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Part-time undergraduate, Degree/certificate-seeking total","7","0","0","0","0","2","1","2","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Part-time undergraduate, Other degree/certificate-seeking, Total","7","0","0","0","0","2","1","2","-2"
"234492","The Art Institute of Seattle","2016","52.0000-Business Management and Administrative Services, Part-time undergraduate, Other degree/certificate-seeking, Continuing","7","0","0","0","0","2","1","2","-2"
"234650","Evergreen Beauty and Barber College-Bellevue","2016",,,,,,,,,,"-2"
"234669","Bellevue College","2016","13.0000-Education, All students total","126","0","5","19","0","46","6","14","-2"
"234669","Bellevue College","2016","13.0000-Education, Undergraduate total","126","0","5","19","0","46","6","14","-2"
"234669","Bellevue College","2016","13.0000-Education, Undergraduate, Degree/certificate-seeking total","98","0","4","15","0","33","6","12","-2"
"234669","Bellevue College","2016","13.0000-Education, Undergraduate, Degree/certificate-seeking, First-time","9","0","2","3","0","4","0","0","-2"
"234669","Bellevue College","2016","13.0000-Education, Undergraduate, Other degree/certificate-seeking, Total","89","0","2","12","0","29","6","12","-2"
"234669","Bellevue College","2016","13.0000-Education, Undergraduate, Non-degree/certificate-seeking","28","0","1","4","0","13","0","2","-2"
"234669","Bellevue College","2016","13.0000-Education, Undergraduate, Other degree/certificate-seeking, Transfer-ins","8","0","0","2","0","0","2","1","-2"
