"unitid","institution name","year","EF2016B.Age category","EF2016B.Level of student","EF2016B.Grand total","EF2016B.Total men","EF2016B.Total women","IDX_EF"
"102845","Charter College","2016",,,,,,"-2"
"234401","Beauty Academy","2016",,,,,,"-2"
"234492","The Art Institute of Seattle","2016",,,,,,"-2"
"234650","Evergreen Beauty and Barber College-Bellevue","2016",,,,,,"-2"
"234669","Bellevue College","2016","All age categories total","All Students total","13506","6113","7393","-2"
"234669","Bellevue College","2016","All age categories total","Undergraduate","13506","6113","7393","-2"
"234669","Bellevue College","2016","Age under 25 total","All Students total","9314","4681","4633","-2"
"234669","Bellevue College","2016","Age under 25 total","Undergraduate","9314","4681","4633","-2"
"234669","Bellevue College","2016","Age under 18","All Students total","2403","1017","1386","-2"
"234669","Bellevue College","2016","Age under 18","Undergraduate","2403","1017","1386","-2"
"234669","Bellevue College","2016","Age 18-19","All Students total","3051","1638","1413","-2"
"234669","Bellevue College","2016","Age 18-19","Undergraduate","3051","1638","1413","-2"
"234669","Bellevue College","2016","Age 20-21","All Students total","2122","1154","968","-2"
"234669","Bellevue College","2016","Age 20-21","Undergraduate","2122","1154","968","-2"
"234669","Bellevue College","2016","Age 22-24","All Students total","1738","872","866","-2"
"234669","Bellevue College","2016","Age 22-24","Undergraduate","1738","872","866","-2"
"234669","Bellevue College","2016","Age 25 and over total","All Students total","4190","1430","2760","-2"
"234669","Bellevue College","2016","Age 25 and over total","Undergraduate","4190","1430","2760","-2"
"234669","Bellevue College","2016","Age 25-29","All Students total","1514","694","820","-2"
"234669","Bellevue College","2016","Age 25-29","Undergraduate","1514","694","820","-2"
"234669","Bellevue College","2016","Age 30-34","All Students total","880","284","596","-2"
"234669","Bellevue College","2016","Age 30-34","Undergraduate","880","284","596","-2"
"234669","Bellevue College","2016","Age 35-39","All Students total","753","169","584","-2"
"234669","Bellevue College","2016","Age 35-39","Undergraduate","753","169","584","-2"
"234669","Bellevue College","2016","Age 40-49","All Students total","716","181","535","-2"
"234669","Bellevue College","2016","Age 40-49","Undergraduate","716","181","535","-2"
"234669","Bellevue College","2016","Age 50-64","All Students total","308","94","214","-2"
"234669","Bellevue College","2016","Age 50-64","Undergraduate","308","94","214","-2"
"234669","Bellevue College","2016","Age 65 and over","All Students total","19","8","11","-2"
"234669","Bellevue College","2016","Age 65 and over","Undergraduate","19","8","11","-2"
"234669","Bellevue College","2016","Age unknown","All Students total","2","2","0","-2"
"234669","Bellevue College","2016","Age unknown","Undergraduate","2","2","0","-2"
"234696","Bellingham Technical College","2016","All age categories total","All Students total","2426","1198","1228","-2"
"234696","Bellingham Technical College","2016","All age categories total","Undergraduate","2426","1198","1228","-2"
"234696","Bellingham Technical College","2016","Age under 25 total","All Students total","1047","596","451","-2"
"234696","Bellingham Technical College","2016","Age under 25 total","Undergraduate","1047","596","451","-2"
"234696","Bellingham Technical College","2016","Age under 18","All Students total","104","64","40","-2"
"234696","Bellingham Technical College","2016","Age under 18","Undergraduate","104","64","40","-2"
"234696","Bellingham Technical College","2016","Age 18-19","All Students total","311","200","111","-2"
"234696","Bellingham Technical College","2016","Age 18-19","Undergraduate","311","200","111","-2"
"234696","Bellingham Technical College","2016","Age 20-21","All Students total","261","134","127","-2"
"234696","Bellingham Technical College","2016","Age 20-21","Undergraduate","261","134","127","-2"
"234696","Bellingham Technical College","2016","Age 22-24","All Students total","371","198","173","-2"
"234696","Bellingham Technical College","2016","Age 22-24","Undergraduate","371","198","173","-2"
"234696","Bellingham Technical College","2016","Age 25 and over total","All Students total","1371","596","775","-2"
"234696","Bellingham Technical College","2016","Age 25 and over total","Undergraduate","1371","596","775","-2"
"234696","Bellingham Technical College","2016","Age 25-29","All Students total","502","236","266","-2"
"234696","Bellingham Technical College","2016","Age 25-29","Undergraduate","502","236","266","-2"
"234696","Bellingham Technical College","2016","Age 30-34","All Students total","322","131","191","-2"
"234696","Bellingham Technical College","2016","Age 30-34","Undergraduate","322","131","191","-2"
"234696","Bellingham Technical College","2016","Age 35-39","All Students total","232","97","135","-2"
"234696","Bellingham Technical College","2016","Age 35-39","Undergraduate","232","97","135","-2"
"234696","Bellingham Technical College","2016","Age 40-49","All Students total","196","80","116","-2"
"234696","Bellingham Technical College","2016","Age 40-49","Undergraduate","196","80","116","-2"
"234696","Bellingham Technical College","2016","Age 50-64","All Students total","109","47","62","-2"
"234696","Bellingham Technical College","2016","Age 50-64","Undergraduate","109","47","62","-2"
"234696","Bellingham Technical College","2016","Age 65 and over","All Students total","10","5","5","-2"
"234696","Bellingham Technical College","2016","Age 65 and over","Undergraduate","10","5","5","-2"
"234696","Bellingham Technical College","2016","Age unknown","All Students total","8","6","2","-2"
"234696","Bellingham Technical College","2016","Age unknown","Undergraduate","8","6","2","-2"
"234711","Big Bend Community College","2016","All age categories total","All Students total","2193","950","1243","-2"
"234711","Big Bend Community College","2016","All age categories total","Undergraduate","2193","950","1243","-2"
"234711","Big Bend Community College","2016","Age under 25 total","All Students total","1589","724","865","-2"
"234711","Big Bend Community College","2016","Age under 25 total","Undergraduate","1589","724","865","-2"
"234711","Big Bend Community College","2016","Age under 18","All Students total","494","198","296","-2"
"234711","Big Bend Community College","2016","Age under 18","Undergraduate","494","198","296","-2"
"234711","Big Bend Community College","2016","Age 18-19","All Students total","554","266","288","-2"
"234711","Big Bend Community College","2016","Age 18-19","Undergraduate","554","266","288","-2"
"234711","Big Bend Community College","2016","Age 20-21","All Students total","308","159","149","-2"
"234711","Big Bend Community College","2016","Age 20-21","Undergraduate","308","159","149","-2"
"234711","Big Bend Community College","2016","Age 22-24","All Students total","233","101","132","-2"
"234711","Big Bend Community College","2016","Age 22-24","Undergraduate","233","101","132","-2"
"234711","Big Bend Community College","2016","Age 25 and over total","All Students total","602","225","377","-2"
"234711","Big Bend Community College","2016","Age 25 and over total","Undergraduate","602","225","377","-2"
"234711","Big Bend Community College","2016","Age 25-29","All Students total","256","99","157","-2"
"234711","Big Bend Community College","2016","Age 25-29","Undergraduate","256","99","157","-2"
"234711","Big Bend Community College","2016","Age 30-34","All Students total","108","39","69","-2"
"234711","Big Bend Community College","2016","Age 30-34","Undergraduate","108","39","69","-2"
"234711","Big Bend Community College","2016","Age 35-39","All Students total","75","24","51","-2"
"234711","Big Bend Community College","2016","Age 35-39","Undergraduate","75","24","51","-2"
"234711","Big Bend Community College","2016","Age 40-49","All Students total","109","38","71","-2"
"234711","Big Bend Community College","2016","Age 40-49","Undergraduate","109","38","71","-2"
"234711","Big Bend Community College","2016","Age 50-64","All Students total","47","19","28","-2"
"234711","Big Bend Community College","2016","Age 50-64","Undergraduate","47","19","28","-2"
"234711","Big Bend Community College","2016","Age 65 and over","All Students total","7","6","1","-2"
"234711","Big Bend Community College","2016","Age 65 and over","Undergraduate","7","6","1","-2"
"234711","Big Bend Community College","2016","Age unknown","All Students total","2","1","1","-2"
"234711","Big Bend Community College","2016","Age unknown","Undergraduate","2","1","1","-2"
